'2019-07-18T17:32:34.022': {'opt': '50 00', 'bar': '23 0a 00 46 89 01', 'temp': 'b0 0a d4 0c', 'hum': '04 66 f8 61', 'mov': 'a7 ff 3f 01 da 00 59 00 12 00 ed f7 c2 01 93 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:32:39.768': {'opt': '50 00', 'bar': '24 0a 00 4c 89 01', 'temp': 'cc 0a d8 0c', 'hum': '0c 66 f8 61', 'mov': 'ba ff 32 01 97 00 5e 00 19 00 e8 f7 ba 01 94 ff f7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:32:45.471': {'opt': '50 00', 'bar': '24 0a 00 47 89 01', 'temp': 'c8 0a d8 0c', 'hum': '18 66 f8 61', 'mov': 'c7 ff 33 01 dd 00 56 00 17 00 f2 f7 bc 01 8f ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:32:51.175': {'opt': '50 00', 'bar': '25 0a 00 47 89 01', 'temp': 'c4 0a dc 0c', 'hum': '18 66 f8 61', 'mov': '85 ff 29 01 be 00 5a 00 17 00 e9 f7 bc 01 96 ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:32:56.879': {'opt': '50 00', 'bar': '25 0a 00 48 89 01', 'temp': 'e4 0a dc 0c', 'hum': '24 66 f8 61', 'mov': 'ac ff 14 01 c1 00 5e 00 16 00 0a f8 c3 01 91 ff fc fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:02.583': {'opt': '50 00', 'bar': '26 0a 00 42 89 01', 'temp': 'd8 0a dc 0c', 'hum': '28 66 b8 61', 'mov': '6e ff 32 01 af 00 5d 00 1c 00 fd f7 c7 01 8e ff f4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:08.286': {'opt': '50 00', 'bar': '26 0a 00 43 89 01', 'temp': 'd8 0a dc 0c', 'hum': '28 66 78 61', 'mov': 'ab ff 46 01 cf 00 55 00 15 00 f6 f7 bb 01 93 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:14.087': {'opt': '50 00', 'bar': '26 0a 00 41 89 01', 'temp': 'ec 0a e0 0c', 'hum': '2c 66 78 61', 'mov': 'a0 ff 62 01 cf 00 59 00 17 00 d3 f7 c2 01 90 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:19.787': {'opt': '50 00', 'bar': '26 0a 00 43 89 01', 'temp': 'e0 0a e0 0c', 'hum': '2c 66 3c 61', 'mov': '9f ff 31 01 c8 00 50 00 16 00 e8 f7 bc 01 9d ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:25.495': {'opt': '50 00', 'bar': '26 0a 00 40 89 01', 'temp': 'ec 0a e0 0c', 'hum': '2c 66 3c 61', 'mov': 'ae ff 3d 01 dd 00 55 00 1c 00 ed f7 c8 01 96 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:31.199': {'opt': '50 00', 'bar': '28 0a 00 44 89 01', 'temp': '00 0b e0 0c', 'hum': '2c 66 fc 60', 'mov': '9a ff 09 01 b5 00 56 00 1b 00 f5 f7 bd 01 90 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:36.903': {'opt': '50 00', 'bar': '27 0a 00 47 89 01', 'temp': 'e8 0a e0 0c', 'hum': '2c 66 fc 60', 'mov': '99 ff 43 01 b6 00 53 00 16 00 ec f7 c4 01 93 ff f1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:42.614': {'opt': '50 00', 'bar': '27 0a 00 44 89 01', 'temp': 'f0 0a e0 0c', 'hum': '28 66 fc 60', 'mov': '7b ff 32 01 c5 00 57 00 14 00 fd f7 c2 01 95 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:48.364': {'opt': '50 00', 'bar': '26 0a 00 44 89 01', 'temp': 'f4 0a e4 0c', 'hum': '34 66 fc 60', 'mov': 'ae ff 48 01 bb 00 4c 00 19 00 ea f7 bf 01 8e ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:54.063': {'opt': '50 00', 'bar': '28 0a 00 48 89 01', 'temp': '14 0b e4 0c', 'hum': '2c 66 bc 60', 'mov': '95 ff 2d 01 b9 00 53 00 18 00 e2 f7 c5 01 8d ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:33:59.821': {'opt': '50 00', 'bar': '27 0a 00 42 89 01', 'temp': '14 0b e4 0c', 'hum': '2c 66 bc 60', 'mov': '7f ff 25 01 bf 00 53 00 20 00 f0 f7 c5 01 91 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:05.520': {'opt': '50 00', 'bar': '27 0a 00 47 89 01', 'temp': 'e8 0a e4 0c', 'hum': '2c 66 bc 60', 'mov': 'a2 ff 16 01 97 00 57 00 15 00 ee f7 c7 01 97 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:11.223': {'opt': '48 00', 'bar': '26 0a 00 40 89 01', 'temp': 'e8 0a e4 0c', 'hum': '34 66 bc 60', 'mov': '93 ff 35 01 bb 00 57 00 19 00 f7 f7 c5 01 8a ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:16.927': {'opt': '50 00', 'bar': '27 0a 00 40 89 01', 'temp': 'e8 0a e4 0c', 'hum': '34 66 bc 60', 'mov': 'b3 ff 57 01 cc 00 49 00 17 00 00 f8 c1 01 94 ff f7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:22.631': {'opt': '50 00', 'bar': '28 0a 00 41 89 01', 'temp': 'fc 0a e4 0c', 'hum': '34 66 bc 60', 'mov': '94 ff 29 01 b5 00 56 00 1c 00 01 f8 c9 01 97 ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:28.335': {'opt': '50 00', 'bar': '27 0a 00 40 89 01', 'temp': 'f8 0a e4 0c', 'hum': '34 66 bc 60', 'mov': '90 ff 19 01 cd 00 5b 00 1f 00 f2 f7 c4 01 8e ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
