'2019-07-19T00:00:00.786': {'opt': '00 00', 'bar': '1c 0b 00 8e 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '60 ff 30 01 bb 00 50 00 11 00 eb f7 05 02 7d ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:06.494': {'opt': '00 00', 'bar': '1e 0b 00 92 8a 01', 'temp': '60 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '68 ff 26 01 a2 00 56 00 1a 00 e2 f7 0b 02 7e ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:12.194': {'opt': '00 00', 'bar': '1c 0b 00 90 8a 01', 'temp': '50 0c 18 0e', 'hum': 'ec 69 ff ff', 'mov': '86 ff 20 01 b9 00 54 00 17 00 ec f7 14 02 7e ff e5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:17.898': {'opt': '00 00', 'bar': '1c 0b 00 8c 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '67 ff 40 01 c9 00 5d 00 0e 00 f1 f7 07 02 84 ff e6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:23.601': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '3c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '5e ff 33 01 a5 00 54 00 19 00 e5 f7 0b 02 81 ff e0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:29.305': {'opt': '00 00', 'bar': '1d 0b 00 8b 8a 01', 'temp': '40 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '6c ff 32 01 b7 00 50 00 14 00 f3 f7 13 02 87 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:35.009': {'opt': '00 00', 'bar': '1e 0b 00 8c 8a 01', 'temp': '44 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '65 ff 2b 01 af 00 54 00 14 00 ea f7 0b 02 86 ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:40.713': {'opt': '00 00', 'bar': '1e 0b 00 91 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '89 ff 14 01 99 00 5d 00 13 00 e6 f7 13 02 7d ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:46.416': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '6c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '5c ff 00 01 b8 00 51 00 19 00 ee f7 06 02 83 ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:52.169': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '38 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '77 ff 16 01 b8 00 5c 00 19 00 eb f7 15 02 7b ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:00:57.873': {'opt': '00 00', 'bar': '1c 0b 00 8b 8a 01', 'temp': '48 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '74 ff 1b 01 aa 00 52 00 1d 00 f5 f7 0b 02 83 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:03.576': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '40 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '8e ff 10 01 b1 00 4f 00 12 00 ee f7 06 02 88 ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:09.280': {'opt': '00 00', 'bar': '1c 0b 00 8a 8a 01', 'temp': '40 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '88 ff 1c 01 ae 00 5c 00 19 00 e4 f7 0e 02 7d ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:15.033': {'opt': '00 00', 'bar': '1c 0b 00 8b 8a 01', 'temp': '50 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '5a ff 1f 01 a9 00 53 00 16 00 ec f7 18 02 7d ff dd fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:20.737': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 ff ff', 'mov': '2e ff 19 01 a2 00 51 00 15 00 e5 f7 09 02 79 ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:26.440': {'opt': '00 00', 'bar': '1f 0b 00 8e 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '62 ff 25 01 bc 00 5c 00 1d 00 f1 f7 1b 02 73 ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:32.144': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '4c 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '96 ff 16 01 92 00 57 00 13 00 e0 f7 18 02 82 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:37.847': {'opt': '00 00', 'bar': '1d 0b 00 8b 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '80 ff 1e 01 a7 00 54 00 15 00 ec f7 0d 02 77 ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:43.552': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '40 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '56 ff 27 01 a8 00 55 00 13 00 f7 f7 13 02 7d ff e6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:49.255': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '54 0c 18 0e', 'hum': 'ec 69 ff ff', 'mov': '5e ff 17 01 c4 00 59 00 18 00 ef f7 18 02 80 ff e6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:01:54.957': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '40 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '53 ff 1e 01 af 00 48 00 14 00 e6 f7 16 02 88 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:00.663': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '44 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '7a ff 19 01 bc 00 4f 00 0b 00 f5 f7 03 02 86 ff e0 fe', 'MAC': '54:6C:0E:53:00:97'}
